PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Phumichai, C; Aiemnaka, P; Nathaisong, P; Hunsawattanakul, S; Fungfoo, P; Rojanaridpiched, C; Vichukit, V; Kongsil, P; Kittipadakul, P; Wannarat, W; Chunwongse, J; Tongyoo, P; Kijkhunasatian, C; Chotineeranat, S; Piyachomkwan, K; Wolfe, MD; Jannink, JL; Sorrells, ME				Phumichai, Chalermpol; Aiemnaka, Pornsak; Nathaisong, Piyaporn; Hunsawattanakul, Sirikan; Fungfoo, Phasakorn; Rojanaridpiched, Chareinsuk; Vichukit, Vichan; Kongsil, Pasajee; Kittipadakul, Piya; Wannarat, Wannasiri; Chunwongse, Julapark; Tongyoo, Pumipat; Kijkhunasatian, Chookiat; Chotineeranat, Sunee; Piyachomkwan, Kuakoon; Wolfe, Marnin D.; Jannink, Jean-Luc; Sorrells, Mark E.			Genome-wide association mapping and genomic prediction of yield-related traits and starch pasting properties in cassava	THEORETICAL AND APPLIED GENETICS																		Kongsil, Pasajee/0000-0002-1154-4340													0040-5752	1432-2242				JAN	2022	135	1					145	171		10.1007/s00122-021-03956-2	http://dx.doi.org/10.1007/s00122-021-03956-2		OCT 2021						34661695					WOS:000708367400002
J	Larkin, DL; Mason, RE; Moon, DE; Holder, AL; Ward, BP; Brown-Guedira, G				Larkin, Dylan L.; Mason, Richard Esten; Moon, David E.; Holder, Amanda L.; Ward, Brian P.; Brown-Guedira, Gina			Predicting Fusarium Head Blight Resistance for Advanced Trials in a Soft Red Winter Wheat Breeding Program With Genomic Selection	FRONTIERS IN PLANT SCIENCE																	Larkin, Dylan/ABC-9893-2021	Brown-Guedira, Gina/0000-0002-1958-2827; Larkin, Dylan/0000-0002-4991-5637													1664-462X					OCT 22	2021	12								715314	10.3389/fpls.2021.715314	http://dx.doi.org/10.3389/fpls.2021.715314								34745156					WOS:000716571800001
J	Sun, J; Poland, JA; Mondal, S; Crossa, J; Juliana, P; Singh, RP; Rutkoski, JE; Jannink, JL; Crespo-Herrera, L; Velu, G; Huerta-Espino, J; Sorrells, ME				Sun, Jin; Poland, Jesse A.; Mondal, Suchismita; Crossa, Jose; Juliana, Philomin; Singh, Ravi P.; Rutkoski, Jessica E.; Jannink, Jean-Luc; Crespo-Herrera, Leonardo; Velu, Govindan; Huerta-Espino, Julio; Sorrells, Mark E.			High-throughput phenotyping platforms enhance genomic selection for wheat grain yield across populations and cycles in early stage	THEORETICAL AND APPLIED GENETICS																	Herrera, Leonardo Abdiel Crespo/R-2416-2019; Poland, Jesse/HKO-1284-2023; Crossa, Jose/AAE-7898-2019; Rutkoski, Jessica/Y-9255-2019; HUERTA-ESPINO, JULIO/E-7345-2010	Herrera, Leonardo Abdiel Crespo/0000-0003-0506-4700; Rutkoski, Jessica/0000-0001-8435-4049; Juliana, Philomin/0000-0001-6922-0173; Jannink, Jean-Luc/0000-0003-4849-628X; Velu, Govindan/0000-0001-9502-4352; HUERTA-ESPINO, JULIO/0000-0001-8334-9862													0040-5752	1432-2242				JUN	2019	132	6					1705	1720		10.1007/s00122-019-03309-0	http://dx.doi.org/10.1007/s00122-019-03309-0								30778634					WOS:000468854300006
J	Galic, V; Franic, M; Jambrovic, A; Ledencan, T; Brkic, A; Zdunic, Z; Simic, D				Galic, Vlatko; Franic, Mario; Jambrovic, Antun; Ledencan, Tatjana; Brkic, Andrija; Zdunic, Zvonimir; Simic, Domagoj			Genetic Correlations Between Photosynthetic and Yield Performance in Maize Are Different Under Two Heat Scenarios During Flowering	FRONTIERS IN PLANT SCIENCE																	Galic, Vlatko/Z-1190-2019	Galic, Vlatko/0000-0002-5191-2953; Franic, Mario/0000-0002-6634-5816													1664-462X					APR 30	2019	10								566	10.3389/fpls.2019.00566	http://dx.doi.org/10.3389/fpls.2019.00566								31114604					WOS:000466562500001
J	Ishimori, M; Hattori, T; Yamazaki, K; Takanashi, H; Fujimoto, M; Kajiya-Kanegae, H; Yoneda, J; Tokunaga, T; Fujiwara, T; Tsutsumi, N; Iwata, H				Ishimori, Motoyuki; Hattori, Tomohiro; Yamazaki, Kiyoshi; Takanashi, Hideki; Fujimoto, Masaru; Kajiya-Kanegae, Hiromi; Yoneda, Junichi; Tokunaga, Tsuyoshi; Fujiwara, Toru; Tsutsumi, Nobuhiro; Iwata, Hiroyoshi			Impacts of dominance effects on genomic prediction of sorghum hybrid performance	BREEDING SCIENCE																	Kanegae, Hiromi/AFS-0023-2022; tsutsumi, nobuhiro/IVV-8279-2023; Ishimori, Motoyuki/AAW-3597-2020	Kanegae, Hiromi/0000-0002-5719-7559; Ishimori, Motoyuki/0000-0002-6027-9512													1344-7610	1347-3735					2020	70	5					605	616		10.1270/jsbbs.20042	http://dx.doi.org/10.1270/jsbbs.20042								33603557					WOS:000604260700012
J	He, XF; Zhang, F; He, F; Shen, YH; Yu, LX; Zhang, TJ; Kang, JM				He, Xiaofan; Zhang, Fan; He, Fei; Shen, Yuhua; Yu, Long-Xi; Zhang, Tiejun; Kang, Junmei			Accuracy of genomic selection for alfalfa biomass yield in two full-sib populations	FRONTIERS IN PLANT SCIENCE																	Zhang, Tiejun/HDM-7091-2022														1664-462X					OCT 28	2022	13								1037272	10.3389/fpls.2022.1037272	http://dx.doi.org/10.3389/fpls.2022.1037272								36388566					WOS:000883652900001
J	Kumar, BVA; Venkatachalam, SR; Ravikesavan, R; Narasimhulu, R; Kathirvelan, P; Selvarangam, V; Pandravada, A; Srivastava, A; Balasundara, DC; Babu, R; Das, S				Kumar, Ananda B., V; Venkatachalam, S. R.; Ravikesavan, R.; Narasimhulu, R.; Kathirvelan, P.; Selvarangam, Venkatesh; Pandravada, Anand; Srivastava, Ashish; Balasundara, D. C.; Babu, Raman; Das, Sayan			Genomic prediction in doubled haploid maize (Zea mays) populations under water stress at flowering and well-watered conditions using high-density single-nucleotide polymorphisms	PLANT BREEDING																	Ragimekula, Narasimhulu/ABH-2951-2021	Ragimekula, Narasimhulu/0000-0002-6416-5256													0179-9541	1439-0523				AUG	2022	141	4					566	573		10.1111/pbr.13027	http://dx.doi.org/10.1111/pbr.13027		MAY 2022											WOS:000795154800001
J	Jighly, A; Lin, ZB; Pembleton, LW; Cogan, NOI; Spangenberg, GC; Hayes, BJ; Daetwyler, HD				Jighly, Abdulqader; Lin, Zibei; Pembleton, Luke W.; Cogan, Noel O. I.; Spangenberg, German C.; Hayes, Ben J.; Daetwyler, Hans D.			Boosting Genetic Gain in Allogamous Crops via Speed Breeding and Genomic Selection	FRONTIERS IN PLANT SCIENCE																	Pembleton, Luke/AAG-8842-2020; Hayes, Ben J/L-3308-2016; Daetwyler, Hans D/H-9775-2019	Hayes, Ben J/0000-0002-5606-3970; 													1664-462X					NOV 15	2019	10								1364	10.3389/fpls.2019.01364	http://dx.doi.org/10.3389/fpls.2019.01364								31803197					WOS:000501328500001
J	Puglisi, D; Delbono, S; Visioni, A; Ozkan, H; Kara, I; Casas, AM; Igartua, E; Vale, G; Lo Piero, AR; Cattivelli, L; Tondelli, A; Fricano, A				Puglisi, Damiano; Delbono, Stefano; Visioni, Andrea; Ozkan, Hakan; Kara, Ibrahim; Casas, Ana M.; Igartua, Ernesto; Vale, Giampiero; Lo Piero, Angela Roberta; Cattivelli, Luigi; Tondelli, Alessandro; Fricano, Agostino			Genomic Prediction of Grain Yield in a Barley MAGIC Population Modeling Genotype per Environment Interaction	FRONTIERS IN PLANT SCIENCE																	Tondelli, Alessandro/I-7433-2015; Igartua, Ernesto/E-7691-2012; Valè, Giampiero/ABF-1492-2020; ÖZKAN, Hakan/C-8510-2011; Casas, Ana Maria/G-3898-2011	Tondelli, Alessandro/0000-0001-9299-7773; Igartua, Ernesto/0000-0003-2938-1719; Valè, Giampiero/0000-0003-2158-9726; ÖZKAN, Hakan/0000-0003-3530-2626; Puglisi, Damiano/0000-0003-4360-3082; Casas, Ana Maria/0000-0003-3484-2655; Fricano, Agostino/0000-0003-3715-5834													1664-462X					MAY 24	2021	12								664148	10.3389/fpls.2021.664148	http://dx.doi.org/10.3389/fpls.2021.664148								34108982					WOS:000658301000001
J	Fradgley, N; Gardner, KA; Bentley, AR; Howell, P; Mackay, IJ; Scott, MF; Mott, R; Cockram, J				Fradgley, Nick; Gardner, Keith A.; Bentley, Alison R.; Howell, Phil; Mackay, Ian J.; Scott, Michael F.; Mott, Richard; Cockram, James			Multi-trait ensemble genomic prediction and simulations of recurrent selection highlight importance of complex trait genetic architecture for long-term genetic gains in wheat	IN SILICO PLANTS																		Fradgley, Nick/0000-0002-7868-8795; Mott, Richard/0000-0002-1022-9330; Cockram, James/0000-0002-1014-6463														2517-5025				JAN 1	2023	5	1							diad002	10.1093/insilicoplants/diad002	http://dx.doi.org/10.1093/insilicoplants/diad002													WOS:000950932900001
J	Sneller, C; Ignacio, C; Ward, B; Rutkoski, J; Mohammadi, M				Sneller, Clay; Ignacio, Carlos; Ward, Brian; Rutkoski, Jessica; Mohammadi, Mohsen			Using Genomic Selection to Leverage Resources among Breeding Programs: Consortium-Based Breeding	AGRONOMY-BASEL																		Ignacio, John Carlos/0000-0002-1799-7316; Mohammadi, Mohsen/0000-0002-4536-1200														2073-4395				AUG	2021	11	8							1555	10.3390/agronomy11081555	http://dx.doi.org/10.3390/agronomy11081555													WOS:000688592100001
J	Michel, S; Ametz, C; Gungor, H; Epure, D; Grausgruber, H; Loschenberger, F; Buerstmayr, H				Michel, Sebastian; Ametz, Christian; Gungor, Huseyin; Epure, Doru; Grausgruber, Heinrich; Loeschenberger, Franziska; Buerstmayr, Hermann			Genomic selection across multiple breeding cycles in applied bread wheat breeding	THEORETICAL AND APPLIED GENETICS																	Buerstmayr, Hermann/AAG-8583-2021; Grausgruber, Heinrich/D-9776-2019; Epure, Doru-Gabriel/T-9794-2018	Grausgruber, Heinrich/0000-0003-4790-0922; Epure, Doru-Gabriel/0000-0002-6209-2794; Michel, Sebastian/0000-0001-6636-2694; Buerstmayr, Hermann/0000-0002-0748-2351; GUNGOR, HUSEYIN/0000-0001-6708-6337													0040-5752	1432-2242				JUN	2016	129	6					1179	1189		10.1007/s00122-016-2694-2	http://dx.doi.org/10.1007/s00122-016-2694-2								27067826					WOS:000376250300009
J	Multani, DS; Jiao, SP; Jung, MT; Simcox, KD				Multani, Dilbag S.; Jiao, Shuping; Jung, Mark T.; Simcox, Kevin D.			STALK STRENGTH IMPROVEMENT IN CROP PLANTS: A PROGRESS REPORT	ANNUAL PLANT REVIEWS ONLINE																		Simcox, Kevin/0000-0002-0683-7034														2639-3832				MAY	2021	4	2					357	395		10.1002/9781119312994.apr0764	http://dx.doi.org/10.1002/9781119312994.apr0764													WOS:000671050400003
J	Juliana, P; Singh, RP; Poland, J; Mondal, S; Crossa, J; Montesinos-Lopez, OA; Dreisigacker, S; Perez-Rodriguez, P; Huerta-Espino, J; Crespo-Herrera, L; Govindan, V				Juliana, Philomin; Singh, Ravi P.; Poland, Jesse; Mondal, Suchismita; Crossa, Jose; Montesinos-Lopez, Osval A.; Dreisigacker, Susanne; Perez-Rodriguez, Paulino; Huerta-Espino, Julio; Crespo-Herrera, Leonardo; Govindan, Velu			Prospects and Challenges of Applied Genomic Selection-A New Paradigm in Breeding for Grain Yield in Bread Wheat	PLANT GENOME																	Poland, Jesse/HKO-1284-2023; Crossa, Jose/AAE-7898-2019; Herrera, Leonardo Abdiel Crespo/R-2416-2019; HUERTA-ESPINO, JULIO/E-7345-2010	Herrera, Leonardo Abdiel Crespo/0000-0003-0506-4700; Juliana, Philomin/0000-0001-6922-0173; Montesinos-Lopez, Osval Antonio/0000-0002-3973-6547; HUERTA-ESPINO, JULIO/0000-0001-8334-9862; Perez-Rodriguez, Paulino/0000-0002-3202-1784; Velu, Govindan/0000-0001-9502-4352														1940-3372				NOV	2018	11	3							180017	10.3835/plantgenome2018.03.0017	http://dx.doi.org/10.3835/plantgenome2018.03.0017								30512048					WOS:000450930200015
J	Zhao, YS; Gowda, M; Liu, WX; Wurschum, T; Maurer, HP; Longin, FH; Ranc, N; Reif, J				Zhao, Yusheng; Gowda, Manje; Liu, Wenxin; Wuerschum, Tobias; Maurer, Hans P.; Longin, Friedrich H.; Ranc, Nicolas; Reif, Jochen C.			Accuracy of genomic selection in European maize elite breeding populations	THEORETICAL AND APPLIED GENETICS																	Gowda, Manje/AAG-2251-2019; Liu, Wenxin/AAI-3539-2020; Gowda, Manje/AAH-4207-2019; Zhao, Yusheng/U-1883-2019	Gowda, Manje/0000-0003-4434-6364; Zhao, Yusheng/0000-0001-6783-5182; Reif, Jochen/0000-0002-6742-265X; Wurschum, Tobias/0000-0002-7397-7731													0040-5752	1432-2242				MAR	2012	124	4					769	776		10.1007/s00122-011-1745-y	http://dx.doi.org/10.1007/s00122-011-1745-y								22075809					WOS:000300245100012
J	Gaikpa, DS; Koch, S; Fromme, FJ; Siekmann, D; Wuerschum, T; Miedaner, T				Gaikpa, David Sewordor; Koch, Silvia; Fromme, Franz Joachim; Siekmann, Doerthe; Wuerschum, Tobias; Miedaner, Thomas			Genome-wide association mapping and genomic prediction of Fusarium head blight resistance, heading stage and plant height in winter rye (Secale cereale)	PLANT BREEDING																		Miedaner, Thomas/0000-0002-9541-3726; Gaikpa, David Sewordor/0000-0002-1906-0332													0179-9541	1439-0523				JUN	2020	139	3					508	520		10.1111/pbr.12810	http://dx.doi.org/10.1111/pbr.12810													WOS:000542814300006
J	Westhues, CC; Mahone, GS; da Silva, S; Thorwarth, P; Schmidt, M; Richter, JC; Simianer, H; Beissinger, TM				Westhues, Cathy C.; Mahone, Gregory S.; da Silva, Sofia; Thorwarth, Patrick; Schmidt, Malthe; Richter, Jan-Christoph; Simianer, Henner; Beissinger, Timothy M.			Prediction of Maize Phenotypic Traits With Genomic and Environmental Predictors Using Gradient Boosting Frameworks	FRONTIERS IN PLANT SCIENCE																															1664-462X					NOV 11	2021	12								699589	10.3389/fpls.2021.699589	http://dx.doi.org/10.3389/fpls.2021.699589								34880880					WOS:000726942900001
J	Covarrubias-Pazaran, G; Schlautman, B; Diaz-Garcia, L; Grygleski, E; Polashock, J; Johnson-Cicalese, J; Vorsa, N; Iorizzo, M; Zalapa, J				Covarrubias-Pazaran, Giovanny; Schlautman, Brandon; Diaz-Garcia, Luis; Grygleski, Edward; Polashock, James; Johnson-Cicalese, Jennifer; Vorsa, Nicholi; Iorizzo, Massimo; Zalapa, Juan			Multivariate GBLUP Improves Accuracy of Genomic Selection for Yield and Fruit Weight in Biparental Populations of Vaccinium macrocarpon Ait	FRONTIERS IN PLANT SCIENCE																	Iorizzo, Massimo/AAJ-3952-2020	Schlautman, Brandon/0000-0002-9983-259X; Iorizzo, Massimo/0000-0002-0032-8247													1664-462X					SEP 12	2018	9								1310	10.3389/fpls.2018.01310	http://dx.doi.org/10.3389/fpls.2018.01310								30258453					WOS:000444367500001
J	Singh, RK; Prasad, M				Singh, Roshan Kumar; Prasad, Manoj			Big genomic data analysis leads to more accurate trait prediction in hybrid breeding for yield enhancement in crop plants	PLANT CELL REPORTS																		Prasad, Manoj/0000-0003-0691-0163; Singh, Dr. Roshan Kumar/0000-0002-3382-9515													0721-7714	1432-203X				OCT	2021	40	10					2009	2011		10.1007/s00299-021-02761-x	http://dx.doi.org/10.1007/s00299-021-02761-x		JUL 2021						34309724					WOS:000678414800001
J	Beyene, Y; Gowda, M; Olsen, M; Robbins, KP; Perez-Rodriguez, P; Alvarado, G; Dreher, K; Gaol, SYX; Mugo, S; Prasanna, BM; Crossa, J				Beyene, Yoseph; Gowda, Manje; Olsen, Michael; Robbins, Kelly P.; Perez-Rodriguez, Paulino; Alvarado, Gregorio; Dreher, Kate; Gaol, Star Yanxin; Mugo, Stephen; Prasanna, Boddupalli M.; Crossa, Jose			Empirical Comparison of Tropical Maize Hybrids Selected Through Genomic and Phenotypic Selections	FRONTIERS IN PLANT SCIENCE																	Robbins, Kelly R/ABU-9024-2022	Perez-Rodriguez, Paulino/0000-0002-3202-1784; Gowda, Manje/0000-0003-4434-6364													1664-462X					NOV 22	2019	10								1502	10.3389/fpls.2019.01502	http://dx.doi.org/10.3389/fpls.2019.01502								31824533					WOS:000501234700001
J	Fernandes, SB; Dias, KOG; Ferreira, DF; Brown, PJ				Fernandes, Samuel B.; Dias, Kaio O. G.; Ferreira, Daniel F.; Brown, Patrick J.			Efficiency of multi-trait, indirect, and trait-assisted genomic selection for improvement of biomass sorghum	THEORETICAL AND APPLIED GENETICS																	Ferreira, Daniel Furtado/S-6342-2019; Fernandes, Samuel/AFA-9552-2022	Ferreira, Daniel Furtado/0000-0002-4371-5239; Fernandes, Samuel/0000-0001-8269-535X; Olimpio das Gracas Dias, Kaio/0000-0002-9171-1021													0040-5752	1432-2242				MAR	2018	131	3					747	755		10.1007/s00122-017-3033-y	http://dx.doi.org/10.1007/s00122-017-3033-y								29218378					WOS:000425288700019
J	Rogers, AR; Bian, Y; Krakowsky, M; Peters, D; Turnbull, C; Nelson, P; Holland, JB				Rogers, Anna R.; Bian, Yang; Krakowsky, Matthew; Peters, David; Turnbull, Clint; Nelson, Paul; Holland, James B.			Genomic prediction for the Germplasm Enhancement of Maize project	PLANT GENOME																		Holland, James/0000-0002-4341-9675														1940-3372				DEC	2022	15	4								10.1002/tpg2.20267	http://dx.doi.org/10.1002/tpg2.20267		OCT 2022						36281214					WOS:000871255200001
J	Pandey, J; Scheuring, DC; Koym, JW; Endelman, JB; Vales, MI				Pandey, Jeewan; Scheuring, Douglas C.; Koym, Jeffrey W.; Endelman, Jeffrey B.; Vales, M. Isabel			Genomic selection and genome-wide association studies in tetraploid chipping potatoes	PLANT GENOME																	Pandey, Jeewan/ABF-1269-2021; Vales, M. Isabel/GON-5804-2022	Pandey, Jeewan/0000-0003-3437-1785; Vales, M. Isabel/0000-0002-6895-3137; Koym, Jeffrey/0000-0001-8501-3895; Endelman, Jeffrey/0000-0003-0957-4337														1940-3372				2023 JAN 18	2023										10.1002/tpg2.20297	http://dx.doi.org/10.1002/tpg2.20297		JAN 2023						36651146					WOS:000914776500001
J	Sandhu, KS; Mihalyov, PD; Lewien, MJ; Pumphrey, MO; Carter, AH				Sandhu, Karansher S.; Mihalyov, Paul D.; Lewien, Megan J.; Pumphrey, Michael O.; Carter, Arron H.			Genomic Selection and Genome-Wide Association Studies for Grain Protein Content Stability in a Nested Association Mapping Population of Wheat	AGRONOMY-BASEL																	Carter, Arron H/E-9631-2019; Sandhu, Karansher/ABC-1997-2021	Carter, Arron H/0000-0002-8019-6554; Sandhu, Karansher/0000-0002-9395-2646														2073-4395				DEC	2021	11	12							2528	10.3390/agronomy11122528	http://dx.doi.org/10.3390/agronomy11122528													WOS:000735694600001
J	Bustos-Korts, D; Boer, MP; Malosetti, M; Chapman, S; Chenu, K; Zheng, BY; van Eeuwijk, F				Bustos-Korts, Daniela; Boer, Martin P.; Malosetti, Marcos; Chapman, Scott; Chenu, Karine; Zheng, Bangyou; van Eeuwijk, Fred			Combining Crop Growth Modeling and Statistical Genetic Modeling to Evaluate Phenotyping Strategies	FRONTIERS IN PLANT SCIENCE																	Zheng, Bangyou/D-6832-2011; Bustos-Korts, Daniela/O-7808-2015; Chenu, Karine/A-8967-2009; Chapman, Scott C/B-9673-2008	Bustos-Korts, Daniela/0000-0003-3827-6726; Chenu, Karine/0000-0001-7273-2057; Chapman, Scott C/0000-0003-4732-8452; Boer, Martin P./0000-0002-1879-4588													1664-462X					NOV 27	2019	10								1491	10.3389/fpls.2019.01491	http://dx.doi.org/10.3389/fpls.2019.01491								31827479					WOS:000502121900001
J	Montesinos-Lopez, OA; Ramos-Pulido, S; Hernandez-Suarez, CM; Gonzalez, BAM; Valladares-Anguiano, FA; Vitale, P; Montesinos-Lopez, A; Crossa, J				Montesinos-Lopez, Osval A. A.; Ramos-Pulido, Sofia; Hernandez-Suarez, Carlos Moises; Gonzalez, Brandon Alejandro Mosqueda; Valladares-Anguiano, Felicitas Alejandra; Vitale, Paolo; Montesinos-Lopez, Abelardo; Crossa, Jose			A novel method for genomic-enabled prediction of cultivars in new environments	FRONTIERS IN PLANT SCIENCE																															1664-462X					JUL 25	2023	14								1218151	10.3389/fpls.2023.1218151	http://dx.doi.org/10.3389/fpls.2023.1218151								37564390					WOS:001043721800001
J	Slater, AT; Cogan, NOI; Forster, JW; Hayes, BJ; Daetwyler, HD				Slater, Anthony T.; Cogan, Noel O. I.; Forster, John W.; Hayes, Benjamin J.; Daetwyler, Hans D.			Improving Genetic Gain with Genomic Selection in Autotetraploid Potato	PLANT GENOME																	Daetwyler, Hans D/H-9775-2019; Hayes, Ben J/L-3308-2016	Hayes, Ben J/0000-0002-5606-3970; Cogan, Noel/0000-0003-1074-8998; Daetwyler, Hans D/0000-0002-3018-3640														1940-3372				NOV	2016	9	3								10.3835/plantgenome2016.02.0021	http://dx.doi.org/10.3835/plantgenome2016.02.0021								27902807					WOS:000393120000012
J	Keller, B; Ariza-Suarez, D; de la Hoz, J; Aparicio, JS; Portilla-Benavides, AE; Buendia, HF; Mayor, VM; Studer, B; Raatz, B				Keller, Beat; Ariza-Suarez, Daniel; de la Hoz, Juan; Aparicio, Johan Steven; Portilla-Benavides, Ana Elisabeth; Buendia, Hector Fabio; Mayor, Victor Manuel; Studer, Bruno; Raatz, Bodo			Genomic Prediction of Agronomic Traits in Common Bean (Phaseolus vulgarisL.) Under Environmental Stress	FRONTIERS IN PLANT SCIENCE																		Studer, Bruno/0000-0001-8795-0719; Keller, Beat/0000-0001-5852-6660; Ariza-Suarez, Daniel/0000-0002-1871-3514													1664-462X					JUL 7	2020	11								1001	10.3389/fpls.2020.01001	http://dx.doi.org/10.3389/fpls.2020.01001								32774338					WOS:000553343500001
J	Battenfield, SD; Guzman, C; Gaynor, RC; Singh, RP; Pena, RJ; Dreisigacker, S; Fritz, AK; Poland, JA				Battenfield, Sarah D.; Guzman, Carlos; Gaynor, R. Chris; Singh, Ravi P.; Pena, Roberto J.; Dreisigacker, Susanne; Fritz, Allan K.; Poland, Jesse A.			Genomic Selection for Processing and End-Use Quality Traits in the CIMMYT Spring Bread Wheat Breeding Program	PLANT GENOME																	Guzman, Carlos/J-9987-2014; Poland, Jesse/HKO-1284-2023; Singh, Ravi Prakash/I-5575-2019	Guzman, Carlos/0000-0002-1797-9273; 													1940-3372					JUL	2016	9	2								10.3835/plantgenome2016.01.0005	http://dx.doi.org/10.3835/plantgenome2016.01.0005								27898810					WOS:000379368700033
J	Poland, J; Endelman, J; Dawson, J; Rutkoski, J; Wu, SY; Manes, Y; Dreisigacker, S; Crossa, J; Sanchez-Villeda, H; Sorrells, M; Jannink, JL				Poland, Jesse; Endelman, Jeffrey; Dawson, Julie; Rutkoski, Jessica; Wu, Shuangye; Manes, Yann; Dreisigacker, Susanne; Crossa, Jose; Sanchez-Villeda, Hector; Sorrells, Mark; Jannink, Jean-Luc			Genomic Selection in Wheat Breeding using Genotyping-by-Sequencing	PLANT GENOME																	Poland, Jesse/HKO-1284-2023; Rutkoski, Jessica/Y-9255-2019; Crossa, Jose/AAE-7898-2019	Rutkoski, Jessica/0000-0001-8435-4049; Jannink, Jean-Luc/0000-0003-4849-628X; Poland, Jesse/0000-0002-7856-1399; Crossa, Jose/0000-0001-9429-5855														1940-3372				NOV	2012	5	3					103	113		10.3835/plantgenome2012.06.0006	http://dx.doi.org/10.3835/plantgenome2012.06.0006													WOS:000312663100003
J	Rabieyan, E; Bihamta, MR; Moghaddam, ME; Mohammadi, V; Alipour, H				Rabieyan, Ehsan; Bihamta, Mohammad Reza; Moghaddam, Mohsen Esmaeilzadeh; Mohammadi, Valiollah; Alipour, Hadi			Genome-wide association mapping and genomic prediction for pre-harvest sprouting resistance, low alpha-amylase and seed color in Iranian bread wheat	BMC PLANT BIOLOGY																		Mohammadi, Valiollah/0000-0001-6487-0740													1471-2229					JUN 17	2022	22	1							300	10.1186/s12870-022-03628-3	http://dx.doi.org/10.1186/s12870-022-03628-3								35715737					WOS:000812508700001
J	Haikka, H; Knurr, T; Manninen, O; Pietila, L; Isolahti, M; Teperi, E; Mantysaari, EA; Stranden, I				Haikka, Hanna; Knurr, Timo; Manninen, Outi; Pietila, Leena; Isolahti, Mika; Teperi, Esa; Mantysaari, Esa A.; Stranden, Ismo			Genomic prediction of grain yield in commercial Finnish oat (Avena sativa) and barley (Hordeum vulgare) breeding programmes	PLANT BREEDING																	Knürr, Timo/K-4241-2013; Strandén, Ismo/AAD-6351-2020	Knürr, Timo/0000-0001-6532-918X; Strandén, Ismo/0000-0003-0161-2618													0179-9541	1439-0523				JUN	2020	139	3					550	561		10.1111/pbr.12807	http://dx.doi.org/10.1111/pbr.12807		FEB 2020											WOS:000510534900001
J	Xu, Y; Zhao, Y; Wang, X; Ma, Y; Li, PC; Yang, ZF; Zhang, XC; Xu, CW; Xu, SZ				Xu, Yang; Zhao, Yue; Wang, Xin; Ma, Ying; Li, Pengcheng; Yang, Zefeng; Zhang, Xuecai; Xu, Chenwu; Xu, Shizhong			Incorporation of parental phenotypic data into multi-omic models improves prediction of yield-related traits in hybrid rice	PLANT BIOTECHNOLOGY JOURNAL																		ZHANG, XUECAI/0000-0001-5498-6387; Yang, Zefeng/0000-0002-3465-8594; Xu, Yang/0000-0002-6493-4916													1467-7644	1467-7652				FEB	2021	19	2					261	272		10.1111/pbi.13458	http://dx.doi.org/10.1111/pbi.13458		SEP 2020						32738177					WOS:000567081000001
J	Grainger, CM; Letarte, J; Rajcan, I				Grainger, Christopher M.; Letarte, Jocelyne; Rajcan, Istvan			Using soybean pedigrees to identify genomic selection signatures associated with long-term breeding for cultivar improvement	CANADIAN JOURNAL OF PLANT SCIENCE																	Rajcan, Istvan/A-1891-2008	Rajcan, Istvan/0000-0001-5156-2482													0008-4220	1918-1833				OCT	2018	98	5					1176	1187		10.1139/cjps-2017-0339	http://dx.doi.org/10.1139/cjps-2017-0339													WOS:000446330900020
J	Michel, S; Loschenberger, F; Ametz, C; Pachler, B; Sparry, E; Burstmayr, H				Michel, Sebastian; Loeschenberger, Franziska; Ametz, Christian; Pachler, Bernadette; Sparry, Ellen; Buerstmayr, Hermann			Combining grain yield, protein content and protein quality by multi-trait genomic selection in bread wheat	THEORETICAL AND APPLIED GENETICS																	Buerstmayr, Hermann/AAG-8583-2021	Michel, Sebastian/0000-0001-6636-2694; Buerstmayr, Hermann/0000-0002-0748-2351													0040-5752	1432-2242				OCT	2019	132	10					2767	2780		10.1007/s00122-019-03386-1	http://dx.doi.org/10.1007/s00122-019-03386-1								31263910					WOS:000487973300004
J	Li, Z; Philipp, N; Spiller, M; Stiewe, G; Reif, JC; Zhao, YS				Li, Zuo; Philipp, Norman; Spiller, Monika; Stiewe, Gunther; Reif, Jochen C.; Zhao, Yusheng			Genome-Wide Prediction of the Performance of Three-Way Hybrids in Barley	PLANT GENOME																	Zhao, Yusheng/U-1883-2019	Zhao, Yusheng/0000-0001-6783-5182; Spiller, Monika/0000-0002-2180-5380; Reif, Jochen/0000-0002-6742-265X; Philipp, Norman/0000-0002-9735-9946													1940-3372					MAR	2017	10	1								10.3835/plantgenome2016.05.0046	http://dx.doi.org/10.3835/plantgenome2016.05.0046								28464064					WOS:000398121200003
