"Publication_Type","Authors","Article_Name","Journal","Year","Type"
"J","Zhai, YG; Yu, KD; Cai, SL; Hu, LM; Amoo, O; Xu, L; Yang, Y; Ma, BY; Jiao, YM; Zhang, CF; Khan, MHU; Khan, SU; Fan, CC; Zhou, YM","Targeted mutagenesis of BnTT8 homologs controls yellow seed coat development for effective oil production in Brassica napus L.","PLANT BIOTECHNOLOGY JOURNAL",2020,"Transgenic"
"J","Ma, FY; Zhang, F; Zhu, Y; Lan, DY; Yan, PW; Wang, Y; Hu, ZJ; Zhang, XW; Hu, J; Niu, F; Liu, MY; He, SC; Cui, JH; Yuan, XY; Yan, Y; Wu, SJ; Cao, LM; Bian, HW; Yang, JS; Li, ZK; Luo, XJ","Auxin signaling module OsSK41-OsIAA10-OsARF regulates grain yield traits in rice","JOURNAL OF INTEGRATIVE PLANT BIOLOGY",2023,"Transgenic"
"J","Li, ZX; Zhang, XR; Liu, XX; Zhao, YJ; Wang, BM; Zhang, JR","miRNA alterations are important mechanism in maize adaptations to low-phosphate environments","PLANT SCIENCE",2016,"Transgenic"
"J","Chandran, V; Wang, H; Gao, F; Cao, XL; Chen, YP; Li, GB; Zhu, Y; Yang, XM; Zhang, LL; Zhao, ZX; Zhao, JH; Wang, YG; Li, SC; Fan, J; Li, Y; Zhao, JQ; Li, SQ; Wang, WM","miR396-OsGRFs Module Balances Growth and Rice Blast Disease-Resistance","FRONTIERS IN PLANT SCIENCE",2019,"Transgenic"
"J","Zhu, JL; Wei, RP; Wang, X; Zheng, CQ; Wang, MM; Yang, YC; Yang, LY","Polyphosphate Accelerates Transformation of Nonstructural Carbohydrates to Improve Growth of ppk-Expressing Transgenic Rice in Phosphorus Deficiency Culture","RICE SCIENCE",2023,"Transgenic"
"J","Zhang, MZ; Fang, JH; Yan, X; Liu, J; Bao, JS; Fransson, G; Andersson, R; Jansson, C; Aman, P; Sun, CX","Molecular insights into how a deficiency of amylose affects carbon allocation - carbohydrate and oil analyses and gene expression profiling in the seeds of a rice waxy mutant","BMC PLANT BIOLOGY",2012,"Transgenic"
"J","Kan, Y; Lin, HX","Molecular regulation and genetic control of rice thermal response","CROP JOURNAL",2021,"Transgenic"
"J","Mu, RL; Lyu, X; Ji, RH; Liu, J; Zhao, T; Li, HY; Liu, B","GmBICs Modulate Low Blue Light-Induced Stem Elongation in Soybean","FRONTIERS IN PLANT SCIENCE",2022,"Transgenic"
"J","Tomas, D; Rodrigues, JC; Viegas, W; Silva, M","Assessment of High Temperature Effects on Grain Yield and Composition in Bread Wheat Commercial Varieties","AGRONOMY-BASEL",2020,"Transgenic"
"J","Murillo, I; Roca, R; Bortolotti, C; Segundo, BS","Engineering photoassimilate partitioning in tobacco plants improves growth and productivity and provides pathogen resistance","PLANT JOURNAL",2003,"Transgenic"
"J","Steinlage, TA; Hill, JH; Nutter, FW","Temporal and spatial spread of Soybean mosaic virus (SMV) in soybeans transformed with the coat protein gene of SMV","PHYTOPATHOLOGY",2002,"Transgenic"
"J","Yue, HW; Olivoto, T; Bu, JZ; Li, J; Wei, JW; Xie, JL; Chen, SP; Peng, HC; Nardino, M; Jiang, XW","Multi-trait selection for mean performance and stability of maize hybrids in mega-environments delineated using envirotyping techniques","FRONTIERS IN PLANT SCIENCE",2022,"Transgenic"
"J","Zhang, HJ; Dong, HX; Li, WJ; Sun, Y; Chen, SY; Kong, XQ","Increased glycine betaine synthesis and salinity tolerance in AhCMO transgenic cotton lines","MOLECULAR BREEDING",2009,"Transgenic"
"J","Lu, MZ; Carter, AM; Tegeder, M","Altering ureide transport in nodulated soybean results in whole-plant adjustments of metabolism, assimilate partitioning, and sink strength","JOURNAL OF PLANT PHYSIOLOGY",2022,"Transgenic"
"J","Eichi, VR; Okamato, M; Haefele, SM; Jewell, N; Brien, C; Garnett, T; Langridge, P","Understanding the Interactions between Biomass, Grain Production and Grain Protein Content in High and Low Protein Wheat Genotypes under Controlled Environments","AGRONOMY-BASEL",2019,"Transgenic"
"J","Gao, Y; Zhang, C; Han, X; Wang, ZY; Ma, L; Yuan, DP; Wu, JN; Zhu, XF; Liu, JM; Li, DP; Hu, YB; Xuan, YH","Inhibition of OsSWEET11 function in mesophyll cells improves resistance of rice to sheath blight disease","MOLECULAR PLANT PATHOLOGY",2018,"Transgenic"
"J","Kumar, S; Kalita, A; Srivastava, R; Sahoo, L","Co-expression of Arabidopsis NHX1 and bar Improves the Tolerance to Salinity, Oxidative Stress, and Herbicide in Transgenic Mungbean","FRONTIERS IN PLANT SCIENCE",2017,"Transgenic"
"J","Duwenig, E; Steup, M; Willmitzer, L; Kossmann, J","Antisense inhibition of cytosolic phosphorylase in potato plants (Solanum tuberosum L.) affects tuber sprouting and flower formation with only little impact on carbohydrate metabolism","PLANT JOURNAL",1997,"Transgenic"
"J","Wu, K; Du, CW; Ma, F; Shen, YZ; Liang, D; Zhou, JM","Rapid diagnosis of nitrogen status in rice based on Fourier transform infrared photoacoustic spectroscopy (FTIR-PAS)","PLANT METHODS",2019,"Transgenic"
"J","Stojakowska, A; Malarz, J","Flavonoid production in transformed root cultures of Scutellaria baicalensis","JOURNAL OF PLANT PHYSIOLOGY",2000,"Transgenic"
"J","Gho, YS; An, G; Park, HM; Jung, KH","A systemic view of phosphate starvation-responsive genes in rice roots to enhance phosphate use efficiency in rice","PLANT BIOTECHNOLOGY REPORTS",2018,"Transgenic"
"J","RACKE, J; SIKORA, RA","INFLUENCE OF THE PLANT HEALTH-PROMOTING RHIZOBACTERIA AGROBACTERIUM-RADIOBACTER AND BACILLUS-SPHAERICUS ON GLOBODERA-PALLIDA ROOT INFECTION OF POTATO AND SUBSEQUENT PLANT-GROWTH","JOURNAL OF PHYTOPATHOLOGY-PHYTOPATHOLOGISCHE ZEITSCHRIFT",1992,"Transgenic"
"J","Liu, XQ; Yang, YM; Wang, RY; Cui, RF; Xu, HQ; Sun, CY; Wang, JS; Zhang, HY; Chen, HT; Zhang, D","GmWRKY46, a WRKY transcription factor, negatively regulates phosphorus tolerance primarily through modifying root morphology in soybean","PLANT SCIENCE",2022,"Transgenic"
"J","Vishal, B; Krishnamurthy, P; Ramamoorthy, R; Kumar, PP","OsTPS8 controls yield-related traits and confers salt stress tolerance in rice by enhancing suberin deposition","NEW PHYTOLOGIST",2019,"Transgenic"
"J","Chen, M; Chen, JJ; Fang, JY; Guo, ZF; Lu, SY","Down-regulation of S-adenosylmethionine decarboxylase genes results in reduced plant length, pollen viability, and abiotic stress tolerance","PLANT CELL TISSUE AND ORGAN CULTURE",2014,"Transgenic"
"J","Xu, XY; Ren, YL; Wang, CM; Zhang, H; Wang, F; Chen, J; Liu, X; Zheng, TH; Cai, MH; Zeng, ZQ; Zhou, L; Zhu, SS; Tang, WJ; Wang, JL; Guo, XP; Jiang, L; Chen, SH; Wan, JM","OsVIN2 encodes a vacuolar acid invertase that affects grain size by altering sugar metabolism in rice","PLANT CELL REPORTS",2019,"Transgenic"
"J","Singh, S; Koyama, H; Bhati, KK; Alok, A","The biotechnological importance of the plant-specific NAC transcription factor family in crop improvement","JOURNAL OF PLANT RESEARCH",2021,"Transgenic"
"J","You, J; Li, DH; Yang, L; Dossou, SSK; Zhou, R; Zhang, YX; Wang, LH","CRISPR/Cas9-Mediated Efficient Targeted Mutagenesis in Sesame (Sesamum indicum L.)","FRONTIERS IN PLANT SCIENCE",2022,"Transgenic"
"J","Rahman, MN; Hangs, R; Schoenau, J","Influence of soil temperature and moisture on micronutrient supply, plant uptake, and biomass yield of wheat, pea, and canola","JOURNAL OF PLANT NUTRITION",2020,"Transgenic"
"J","Yang, HL; Bozorov, TA; Chen, XP; Zhang, DW; Wang, JC; Li, XS; Gui, DW; Qi, ZM; Zhang, DY","Yield Comparisons between Cotton Variety Xin Nong Mian 1 and Its Transgenic ScALDH21 Lines under Different Water Deficiencies in a Desert-Oasis Ecotone","AGRONOMY-BASEL",2021,"Transgenic"
"J","Yan, DW; Tajima, H; Cline, LC; Fong, RY; Ottaviani, JI; Shapiro, HY; Blumwald, E","Genetic modification of flavone biosynthesis in rice enhances biofilm formation of soil diazotrophic bacteria and biological nitrogen fixation","PLANT BIOTECHNOLOGY JOURNAL",2022,"Transgenic"
"J","Pathi, KM; Rink, P; Budhagatapalli, N; Betz, R; Saado, I; Hiekel, S; Becker, M; Djamei, A; Kumlehn, J","Engineering Smut Resistance in Maize by Site-Directed Mutagenesis of LIPOXYGENASE 3","FRONTIERS IN PLANT SCIENCE",2020,"Transgenic"
"J","Mohamed, S; Boehm, R; Schnabl, H","Stable genetic transformation of high oleic Helianthus annuus L. genotypes with high efficiency","PLANT SCIENCE",2006,"Transgenic"
"J","Chen, L; Gu, G; Wang, CX; Chen, ZF; Yan, W; Jin, M; Xie, G; Zhou, JL; Deng, XW; Tang, XY","Trp(548) Met mutation of acetolactate synthase in rice confers resistance to a broad spectrum of ALS-inhibiting herbicides","CROP JOURNAL",2021,"Transgenic"
"J","Singh, RJ; Ahlawat, IPS","Dry Matter, Nitrogen, Phosphorous, and Potassium Partitioning, Accumulation, and Use Efficiency in Transgenic Cotton-Based Cropping Systems","COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS",2012,"Transgenic"
"J","Xia, KF; Pan, XQ; Chen, HP; Xu, XL; Zhang, MY","Rice miR168a-5p regulates seed length, nitrogen allocation and salt tolerance by targeting OsOFP3, OsNPF2.4 and OsAGO1a, respectively","JOURNAL OF PLANT PHYSIOLOGY",2023,"Transgenic"
"J","Wacal, C; Ogata, N; Basalirwa, D; Sasagawa, D; Ishigaki, T; Handa, T; Kato, M; Tenywa, MM; Masunaga, T; Yamamoto, S; Nishihara, E","Imbalanced Soil Chemical Properties and Mineral Nutrition in Relation to Growth and Yield Decline of Sesame on Different Continuously Cropped Upland Fields Converted Paddy","AGRONOMY-BASEL",2019,"Transgenic"
"J","Zu, SH; Jiang, YT; Hu, LQ; Zhang, YJ; Chang, JH; Xue, HW; Lin, WH","Effective Modulating Brassinosteroids Signal to Study Their Specific Regulation of Reproductive Development and Enhance Yield","FRONTIERS IN PLANT SCIENCE",2019,"Transgenic"
"J","Mehrotra, S; Goel, MK; Rahman, LU; Kukreja, AK","Molecular and chemical characterization of plants regenerated from Ri-mediated hairy root cultures of Rauwolfia serpentina","PLANT CELL TISSUE AND ORGAN CULTURE",2013,"Transgenic"
"J","Singareddy, V; Sheri, VR; Muddanuru, T; Tatineni, R; Jain, RK; Sankaraneni, CR; Kodeboyina, VS; Mulpuri, S","Genetic engineering of sunflower (Helianthus annuus L.) for resistance to necrosis disease through deployment of the TSV coat protein gene","PLANT CELL TISSUE AND ORGAN CULTURE",2018,"Transgenic"
"J","Du, HM; Ryan, PR; Liu, C; Li, HJ; Hu, WP; Yan, WN; Huang, Y; He, WZ; Luo, BW; Zhang, X; Gao, SB; Zhou, SF; Zhang, SZ","ZmMATE6 from maize encodes a citrate transporter that enhances aluminum tolerance in transgenic Arabidopsis thaliana","PLANT SCIENCE",2021,"Transgenic"
"J","Zhang, XB; Wang, Y; Wang, XW; Zhu, Z; Zhang, XF; Jia, LQ; Li, YY; Tian, WJ; Chen, HY; Zhu, XY; He, GH; Sang, XC","A very-long-chain fatty acid synthesis gene, SD38, influences plant height by activating ethylene biosynthesis in rice","PLANT JOURNAL",2022,"Transgenic"
"J","Li, WP; Chen, GL; Xiao, GS; Zhu, SS; Zhou, N; Zhu, PP; Zhang, Q; Hu, TZ","Overexpression of TCP transcription factor OsPCF7 improves agronomic trait in rice","MOLECULAR BREEDING",2020,"Transgenic"
"J","Garnier, F; Label, P; Hallard, D; Chenieux, JC; Rideau, M; Hamdi, S","Transgenic periwinkle tissues overproducing cytokinins do not accumulate enhanced levels of indole alkaloids","PLANT CELL TISSUE AND ORGAN CULTURE",1996,"Transgenic"
"J","Tanabe, N; Ito, A; Tamoi, M; Shigeoka, S","Identification of promoter for adventitious root-specific gene expression from sweet potato","PLANT ROOT",2018,"Transgenic"
"J","Ren, R; Yin, JL; Zheng, HF; Wang, T; Liu, SC; Karthikeyan, A; Yang, QH; Gao, L; Zhi, HJ; Li, K","Characterization of broad-spectrum resistance to Soybean mosaic virus in soybean [Glycine max (L.) Merr.] cultivar RN-9","PLANT BREEDING",2018,"Transgenic"
"J","Simkin, AJ; Lopez-Calcagno, PE; Davey, PA; Headland, LR; Lawson, T; Timm, S; Bauwe, H; Raines, CA","Simultaneous stimulation of sedoheptulose 1,7-bisphosphatase, fructose 1,6-bisphophate aldolase and the photorespiratory glycine decarboxylase-H protein increases CO2 assimilation, vegetative biomass and seed yield in Arabidopsis","PLANT BIOTECHNOLOGY JOURNAL",2017,"Transgenic"
"J","Yan, WH; Wang, P; Chen, HX; Zhou, HJ; Li, QP; Wang, CR; Ding, ZH; Zhang, YS; Yu, SB; Xing, YZ; Zhang, QF","A Major QTL, Ghd8, Plays Pleiotropic Roles in Regulating Grain Productivity, Plant Height, and Heading Date in Rice","MOLECULAR PLANT",2011,"Transgenic"
"J","Liu, K; Liu, LL; Ren, YL; Wang, ZQ; Zhou, KN; Liu, X; Wang, D; Zheng, M; Cheng, ZJ; Lin, QB; Wang, JL; Wu, FQ; Zhang, X; Guo, XP; Wang, CM; Zhai, HQ; Jiang, L; Wan, JM","Dwarf and tiller-enhancing 1 regulates growth and development by influencing boron uptake in boron limited conditions in rice","PLANT SCIENCE",2015,"Transgenic"
"J","Lehretz, GG; Sonnewald, S; Sonnewald, U","Assimilate highway to sink organs - Physiological consequences of SP6A overexpression in transgenic potato (Solanum tuberosum L.)","JOURNAL OF PLANT PHYSIOLOGY",2021,"Transgenic"
"J","Shen, BR; Wang, LM; Lin, XL; Yao, Z; Xu, HW; Zhu, CH; Teng, HY; Cui, LL; Liu, EE; Zhang, JJ; He, ZH; Peng, XX","Engineering a New Chloroplastic Photorespiratory Bypass to Increase Photosynthetic Efficiency and Productivity in Rice","MOLECULAR PLANT",2019,"Transgenic"
"J","Quan, RD; Shang, M; Zhang, H; Zhao, YX; Zhang, JR","Engineering of enhanced glycine betaine synthesis improves drought tolerance in maize","PLANT BIOTECHNOLOGY JOURNAL",2004,"Transgenic"
"J","Liu, Y; Wang, WL; Yang, B; Currey, C; Fei, SZ","Functional Analysis of theteosinte branched 1Gene in the Tetraploid Switchgrass (Panicum virgatum L.) by CRISPR/Cas9-Directed Mutagenesis","FRONTIERS IN PLANT SCIENCE",2020,"Transgenic"
"J","Nadeem, M; Chen, AD; Hong, HL; Li, DD; Li, JJ; Zhao, D; Wang, W; Wang, XB; Qiu, LJ","GmMs1 encodes a kinesin-like protein essential for male fertility in soybean (Glycine max L.)","JOURNAL OF INTEGRATIVE PLANT BIOLOGY",2021,"Transgenic"
"J","Huynh, TTH; Nguyen, TL; Luu, HL; Nguyen, HH; Le, HD; Bui, MM; Pham, TH; Doan, TBT; Le, TTH; Ha, HH; Nong, VH","ISOLATION AND CHARACTERIZATION OF A DREB HOMOLOG GENE FROM A LOCAL DROUGHT-TOLERANT MAIZE CULTIVAR","ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA",2019,"Transgenic"
"J","Chandra, AK; Joshi, A; Tripathi, A; Kumar, A; Pandey, S; Singh, A; Lal, D; Bharati, A; Adhikari, S; Dinkar, V","Climate-Resilience Maize: Heat stress, Signaling, and Molecular interventions","JOURNAL OF PLANT GROWTH REGULATION",2022,"Transgenic"
"J","Floss, DM; Sack, M; Stadlmann, J; Rademacher, T; Scheller, J; Stoger, E; Fischer, R; Conrad, U","Biochemical and functional characterization of anti-HIV antibody-ELP fusion proteins from transgenic plants","PLANT BIOTECHNOLOGY JOURNAL",2008,"Transgenic"
"J","Xu, F; Tang, JY; Gao, SP; Chang, X; Du, L; Chu, CC","Control of rice pre-harvest sprouting by glutaredoxin-mediated abscisic acid signaling","PLANT JOURNAL",2019,"Transgenic"
"J","Amalraj, A; Luang, S; Kumar, MY; Sornaraj, P; Eini, O; Kovalchuk, N; Bazanova, N; Li, Y; Yang, NN; Eliby, S; Langridge, P; Hrmova, M; Lopato, S","Change of function of the wheat stress-responsive transcriptional repressor TaRAP2.1L by repressor motif modification","PLANT BIOTECHNOLOGY JOURNAL",2016,"Transgenic"
"J","Wang, QQ; Yan, W; Zhang, YC; Zhan, MM; Luo, XL; Eneji, AE; Zhang, AH; Xiao, JL; Li, FJ; Tian, XL","Introduction of Bacillus thuringiensis (Bt) gene does not reduce potassium use efficiency of Bt transgenic cotton (Gossypium hirsutum L.)","JOURNAL OF COTTON RESEARCH",2022,"Transgenic"
"J","Biswas, PS; Swamy, BPM; Kader, MA; Hossain, MA; Boncodin, R; Samia, M; Hassan, ML; Wazuddin, M; MacKenzie, D; Reinke, R","Development and Field Evaluation of Near-Isogenic Lines of GR2-EBRRI dhan29 Golden Rice","FRONTIERS IN PLANT SCIENCE",2021,"Transgenic"
"J","DENNEHEY, BK; PETERSEN, WL; FORDSANTINO, C; PAJEAU, M; ARMSTRONG, CL","COMPARISON OF SELECTIVE AGENTS FOR USE WITH THE SELECTABLE MARKER GENE BAR IN MAIZE TRANSFORMATION","PLANT CELL TISSUE AND ORGAN CULTURE",1994,"Transgenic"
"J","Stroud, JL; Li, HF; Lopez-Bellido, FJ; Broadley, MR; Foot, I; Fairweather-Tait, SJ; Hart, DJ; Hurst, R; Knott, P; Mowat, H; Norman, K; Scott, P; Tucker, M; White, PJ; McGrath, SP; Zhao, FJ","Impact of sulphur fertilisation on crop response to selenium fertilisation","PLANT AND SOIL",2010,"Transgenic"
"J","Ren, FR; Ren, C; Zhang, Z; Duan, W; Lecourieux, D; Li, SH; Liang, ZC","Efficiency Optimization of CRISPR/Cas9-Mediated Targeted Mutagenesis in Grape","FRONTIERS IN PLANT SCIENCE",2019,"Transgenic"
"J","Chang, Y; Nguyen, BH; Xie, YJ; Xiao, BZ; Tang, N; Zhu, WL; Mou, TM; Xiong, LZ","Co-overexpression of the Constitutively Active Form of OsbZIP46 and ABA-Activated Protein Kinase SAPK6 Improves Drought and Temperature Stress Resistance in Rice","FRONTIERS IN PLANT SCIENCE",2017,"Transgenic"
"J","Karthik, K; Nandiganti, M; Thangaraj, A; Singh, S; Mishra, P; Rathinam, M; Sharma, M; Singh, NK; Dash, PK; Sreevathsa, R","Transgenic Cotton (Gossypium hirsutumL.) to Combat Weed Vagaries: Utility of an Apical Meristem-Targetedin plantaTransformation Strategy to Introgress a ModifiedCP4-EPSPSGene for Glyphosate Tolerance","FRONTIERS IN PLANT SCIENCE",2020,"Transgenic"
"J","Qiao, JY; Zhang, YJ; Han, SQL; Chang, SQ; Gao, ZY; Qi, YH; Qian, Q","OsARF4 regulates leaf inclination via auxin and brassinosteroid pathways in rice","FRONTIERS IN PLANT SCIENCE",2022,"Transgenic"
"J","DHIR, SK; DHIR, S; STURTEVANT, AP; WIDHOLM, JM","REGENERATION OF TRANSFORMED SHOOTS FROM ELECTROPORATED SOYBEAN (GLYCINE-MAX (L) MERR) PROTOPLASTS","PLANT CELL REPORTS",1991,"Transgenic"
"J","Snapp, AR; Kang, JL; Qi, XL; Lu, CF","A fatty acid condensing enzyme from Physaria fendleri increases hydroxy fatty acid accumulation in transgenic oilseeds of Camelina sativa","PLANTA",2014,"Transgenic"
"J","Cheng, L; Wang, HY","Responses of Soil Bacterial Communities and Enzyme Activities to Straw Return and Potassium Fertilization with Two Soils Under Soil Potassium Balance Condition in Rice-Wheat System","JOURNAL OF SOIL SCIENCE AND PLANT NUTRITION",2023,"Transgenic"
"J","Ritala, A; Marttila, S; Wilhelmson, A; Nuutila, AM","Inducing homozygosity in transgenic barley (Hordeum vulgare L.) by microspore culture","ACTA PHYSIOLOGIAE PLANTARUM",2005,"Transgenic"
"J","Basso, MF; Lourenco-Tessutti, IT; Moreira-Pinto, CE; Mendes, RAG; Pereira, DG; Grandis, A; Macedo, LLP; Macedo, AF; Gomes, ACMM; Arraes, FBM; Togawa, RC; Costa, MMD; Marcelino-Guimaraes, FC; Silva, MCM; Floh, EIS; Buckeridge, MS; Engler, JD; Grossi-de-Sa, MF","Overexpression of the GmEXPA1 gene reduces plant susceptibility to Meloidogyne incognita","PLANT CELL REPORTS",2023,"Transgenic"
"J","Liang, YS; Bae, HJ; Kang, SH; Lee, T; Kim, MG; Kim, YM; Ha, SH","The Arabidopsis beta-carotene hydroxylase gene promoter for a strong constitutive expression of transgene","PLANT BIOTECHNOLOGY REPORTS",2009,"Transgenic"
"J","Zhao, D; Derkx, AP; Liu, DC; Buchner, P; Hawkesford, MJ","Overexpression of a NAC transcription factor delays leaf senescence and increases grain nitrogen concentration in wheat","PLANT BIOLOGY",2015,"Transgenic"
"J","Huang, LY; Liu, H; Wu, JJ; Zhao, RP; Li, YX; Melaku, G; Zhang, SL; Huang, GF; Bao, YC; Ning, M; Chen, BJ; Gong, YR; Hu, QY; Zhang, J; Zhang, YS","Evolution of Plant Architecture in Oryza Driven by the PROG1 Locus","FRONTIERS IN PLANT SCIENCE",2020,"Transgenic"
"J","Yan, L; Xing, LL; Yang, CY; Chang, RZ; Zhang, MC; Qiu, LJ","Identification of quantitative trait loci associated with soybean seed protein content using two populations derived from crosses between Glycine max and Glycine soja","PLANT GENETIC RESOURCES-CHARACTERIZATION AND UTILIZATION",2014,"Transgenic"
"J","Chen, ZQ; Liu, Y; Yin, YJ; Liu, Q; Li, N; Li, X; He, WZ; Hao, DY; Liu, XG; Guo, CH","Expression of AtGA2ox1 enhances drought tolerance in maize","PLANT GROWTH REGULATION",2019,"Transgenic"
"J","Lee, JT; Prasad, V; Yang, PT; Wu, JF; Ho, THD; Charng, YY; Chan, MT","Expression of Arabidopsis CBF1 regulated by an ABA/stress inducible promoter in transgenic tomato confers stress tolerance without affecting yield","PLANT CELL AND ENVIRONMENT",2003,"Transgenic"
"J","Grossi, CEM; Santin, F; Quintana, SA; Fantino, E; Ulloa, RM","Calcium-dependent protein kinase 2 plays a positive role in the salt stress response in potato","PLANT CELL REPORTS",2022,"Transgenic"
"J","Bang, SW; Choi, S; Jin, XJ; Jung, SE; Choi, JW; Seo, JS; Kim, JK","Transcriptional activation of rice CINNAMOYL-CoA REDUCTASE 10 by OsNAC5, contributes to drought tolerance by modulating lignin accumulation in roots","PLANT BIOTECHNOLOGY JOURNAL",2022,"Transgenic"
"J","Thro, AM; Roca, WM; Restrepo, J; Caballero, H; Poats, S; Escobar, R; Mafla, G; Hernandez, C","Can in vitro biology have farm-level impact for small-scale cassava farmers in Latin America?","IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY-PLANT",1999,"Transgenic"
"J","Feng, ZH; Wang, LY; Yang, ZQ; Zhang, YY; Li, X; Song, L; He, L; Duan, JZ; Feng, W","Hyperspectral Monitoring of Powdery Mildew Disease Severity in Wheat Based on Machine Learning","FRONTIERS IN PLANT SCIENCE",2022,"Transgenic"
"J","Mukherjee, T; Ivanova, M; Dagda, M; Kanayama, Y; Granot, D; Holaday, AS","Constitutively overexpressing a tomato fructokinase gene (LeFRK1) in cotton (Gossypium hirsutum L. cv. Coker 312) positively affects plant vegetative growth, boll number and seed cotton yield","FUNCTIONAL PLANT BIOLOGY",2015,"Transgenic"
"J","Jeong, JS; Kim, YS; Baek, KH; Jung, H; Ha, SH; Do Choi, Y; Kim, M; Reuzeau, C; Kim, JK","Root-Specific Expression of OsNAC10 Improves Drought Tolerance and Grain Yield in Rice under Field Drought Conditions","PLANT PHYSIOLOGY",2010,"Transgenic"
"J","Tong, HH; Chen, L; Li, WP; Mei, HW; Xing, YZ; Yu, XQ; Xu, XY; Zhang, SQ; Luo, LJ","Identification and characterization of quantitative trait loci for grain yield and its components under different nitrogen fertilization levels in rice (Oryza sativa L.)","MOLECULAR BREEDING",2011,"Transgenic"
"J","Zhang, C; Li, X; He, YF; Zhang, JF; Yan, T; Liu, XL","Physiological investigation of C-4-phosphoenolpyruvate-carboxylase-introduced rice line shows that sucrose metabolism is involved in the improved drought tolerance","PLANT PHYSIOLOGY AND BIOCHEMISTRY",2017,"Transgenic"
"J","Taliansky, ME; Ryabov, EV; Robinson, DJ","Two distinct mechanisms of transgenic resistance mediated by groundnut rosette virus satellite RNA sequences","MOLECULAR PLANT-MICROBE INTERACTIONS",1998,"Transgenic"
"J","Alvarez-Garcia, S; Manga-Robles, A; Encina, A; Gutierrez, S; Casquero, PA","Novel culture chamber to evaluate in vitro plant-microbe volatile interactions: Effects of Trichoderma harzianum volatiles on wheat plantlets","PLANT SCIENCE",2022,"Transgenic"
"J","Stoger, E; Sack, M; Perrin, Y; Vaquero, C; Torres, E; Twyman, RM; Christou, P; Fischer, R","Practical considerations for pharmaceutical antibody production in different crop systems","MOLECULAR BREEDING",2002,"Transgenic"
"J","Bednarek, J; Boulaflous, A; Girousse, C; Ravel, C; Tassy, C; Barret, P; Bouzidi, MF; Mouzeyar, S","Down-regulation of the TaGW2 gene by RNA interference results in decreased grain size and weight in wheat","JOURNAL OF EXPERIMENTAL BOTANY",2012,"Transgenic"
"J","Zeng, JY; Yan, XY; Bai, WQ; Zhang, M; Chen, Y; Li, XB; Hou, L; Zhao, J; Ding, XY; Liu, RC; Wang, FL; Ren, H; Zhang, JY; Ding, B; Liu, HR; Xiao, YH; Pei, Y","Carpel-specific down-regulation of GhCKXs in cotton significantly enhances seed and fiber yield","JOURNAL OF EXPERIMENTAL BOTANY",2022,"Transgenic"
"J","Zhang, HJ; Chen, M; Xu, CJ; Liu, RB; Tang, WS; Chen, K; Zhou, YB; Xu, ZS; Chen, J; Ma, YZ; Chen, WG; Sun, DZ; Fan, H","H+-pyrophosphatases enhance low nitrogen stress tolerance in transgenic Arabidopsis and wheat by interacting with a receptor-like protein kinase","FRONTIERS IN PLANT SCIENCE",2023,"Transgenic"
"J","Pantalone, V; Cunicelli, M; Wyman, C","Registration of soybean cultivar 'TN15-5007' with high meal protein","JOURNAL OF PLANT REGISTRATIONS",2020,"Transgenic"
"J","Liu, Q; Dong, GR; Ma, YQ; Zhao, SM; Liu, X; Li, XK; Li, YJ; Hou, BK","Rice Glycosyltransferase Gene UGT85E1 Is Involved in Drought Stress Tolerance Through Enhancing Abscisic Acid Response","FRONTIERS IN PLANT SCIENCE",2021,"Transgenic"
"J","Zhao, YX; Chen, YQ; Dai, HC; Cui, JX; Wang, L; Sui, P","Effects of Organic Amendments on the Improvement of Soil Nutrients and Crop Yield in Sandy Soils during a 4-Year Field Experiment in Huang-Huai-Hai Plain, Northern China","AGRONOMY-BASEL",2021,"Transgenic"
"J","Dhir, SK; Oglesby, J; Bhagsari, AS","Plant regeneration via somatic embryogenesis, and transient gene expression in sweet potato protoplasts","PLANT CELL REPORTS",1998,"Transgenic"
"J","Xu, ZY; Gongbuzhaxi; Wang, CY; Xue, F; Zhang, H; Ji, WQ","Wheat NAC transcription factor TaNAC29 is involved in response to salt stress","PLANT PHYSIOLOGY AND BIOCHEMISTRY",2015,"Transgenic"
"J","Yan, JP; Liu, YR; Wang, KX; Li, DY; Hu, QQ; Zhang, WJ","Overexpression of OsPIL1 enhanced biomass yield and saccharification efficiency in switchgrass","PLANT SCIENCE",2018,"Transgenic"
"J","Habib, I; Shahzad, K; Rauf, M; Ahmad, M; Alsamadany, H; Fahad, S; Saeed, NA","Dehydrin responsive HVA1 driven inducible gene expression enhanced salt and drought tolerance in wheat","PLANT PHYSIOLOGY AND BIOCHEMISTRY",2022,"Transgenic"
"J","Cui, Y; Zhu, MM; Xu, ZJ; Xu, Q","Assessment of the effect of ten heading time genes on reproductive transition and yield components in rice using a CRISPR/Cas9 system","THEORETICAL AND APPLIED GENETICS",2019,"Transgenic"
"J","Carrera, E; Bou, J; Garcia-Martinez, JL; Prat, S","Changes in GA 20-oxidase gene expression strongly affect stem length, tuber induction and tuber yield of potato plants","PLANT JOURNAL",2000,"Transgenic"
